"x [nm]","y [nm]","?x [nm]","?y [nm]","sigma_x","sigma_y","del_sigma_x","del_sigma_y","t"
36126.51339,15578.13022,16.59184,14.0003,61.09735,51.68106,17.62411,15.10874,1392072.32831
36093.71181,15500.78847,13.15091,12.56302,128.70303,125.72015,16.94264,17.65284,1392354.83565
35998.48826,15336.93205,15.44212,19.72239,94.01806,118.36774,16.00864,20.41621,1400842.87617
35989.54944,15313.07968,4.44798,5.06188,88.23268,100.41021,4.30956,4.89988,1404716.95687
35955.869,15312.24884,38.96957,23.59531,78.64134,48.65455,40.5109,24.54843,1405626.84503
35990.62378,15333.46542,9.22489,9.58839,88.06642,91.56121,9.72735,10.16535,1415978.57995
35930.68209,15363.99054,7.3789,6.33685,99.39674,85.36152,7.1605,6.15751,1429581.0562
35956.58376,15390.95704,5.06252,5.61032,89.8729,99.62115,4.85587,5.39926,1433343.09602
35964.30004,15379.95178,5.25053,4.8381,92.6231,85.34757,4.96203,4.5727,1441543.69314
35948.04991,15401.23206,9.32084,8.51092,74.3288,67.87109,9.00542,8.21468,1453372.70604
36100.0175,15548.94263,4.53328,5.789,102.54127,130.93289,4.45843,5.66414,1467491.74791
35489.32459,15101.22266,8.76293,11.2589,87.83331,107.15928,9.58458,12.73974,1467713.59252
36095.61015,15611.99576,3.84588,4.83672,108.81398,136.8218,3.74628,4.69267,1470200.22626
36124.68793,15561.27646,21.92534,16.29295,63.15868,47.55192,24.90722,19.63689,1477323.8364
36033.81966,15243.12289,5.9697,6.28654,88.27067,92.96131,5.95203,6.27241,1479293.32412
36044.13959,15304.65514,16.41744,18.81802,89.6455,102.7606,16.51945,18.94405,1488863.60637
35460.2413,15014.32405,6.25428,8.27438,96.7333,127.95043,6.26615,8.26104,1493315.17541
35828.92001,15178.69963,6.71855,7.24592,107.54787,116.06215,6.76813,7.34126,1500992.79644
35500.02478,15094.86714,7.1236,8.91385,93.41806,116.75555,7.59782,9.36893,1502569.02432
35529.35585,15157.30628,4.74125,5.71891,93.52068,112.88264,4.63407,5.61316,1516634.59746
36017.50343,15242.61041,7.74929,12.29865,68.24619,106.36627,11.14066,16.59089,1535484.21512
36013.06826,15295.99894,8.99637,13.47509,90.81209,136.10728,9.01051,13.49363,1536225.22578
36083.22104,15566.77055,23.73779,31.11194,97.3721,122.61348,34.90573,42.09061,1542558.6279
35973.02039,15367.90964,3.51059,4.04297,91.24909,105.09639,3.35119,3.8682,1546047.56609
36072.00948,15458.05417,7.88879,7.35627,141.8035,131.9106,7.94639,7.415,1546642.35409
36023.9811,15496.2808,9.38992,13.56772,130.43566,186.12307,10.91178,15.12012,1561383.1086
36128.40879,15505.8529,5.84753,5.19029,92.24097,81.07057,5.76036,5.13461,1565476.84859
36139.71826,15503.62298,4.98312,6.11866,88.42782,108.54741,4.87954,5.95701,1573840.15306
35491.28251,15087.46476,7.8426,8.07401,78.78429,78.63814,8.41199,9.05544,1583690.65645
36125.64479,15542.59188,6.55689,6.938,93.23911,98.87794,7.82394,8.3615,1598197.6386
35497.006,15072.62948,6.65884,9.37904,93.5716,131.72637,7.10677,9.96563,1618861.36617
35984.91762,15291.01876,3.45992,4.67448,99.30076,134.1583,3.32693,4.48993,1620745.67362
36024.37028,15403.55727,5.56501,5.91428,125.08008,132.8491,5.61255,5.93505,1636959.86231
36115.83039,15553.55958,8.89913,9.26229,109.36936,113.44852,10.48287,10.64906,1638751.42716
35485.10639,15073.70583,4.94142,5.95661,93.2401,112.78199,5.08073,6.09395,1641455.11824
36135.15171,15495.95352,5.43755,5.91665,76.87445,83.65023,5.15473,5.61144,1643102.22245
35468.13237,15041.98414,4.68679,6.18655,105.29714,138.44822,4.68004,6.14611,1647201.87373
36092.52361,15645.60614,10.21874,8.32622,93.10274,76.03629,10.14201,8.31014,1650541.08764
36115.1849,15571.19834,5.76383,7.22435,85.79011,107.89209,6.00568,7.74791,1651440.3877
36105.85324,15460.56794,6.28323,6.23531,108.32295,110.39756,6.32955,6.12175,1661312.93551
36149.20707,15491.15426,5.90795,7.56046,71.00398,90.59731,6.12215,7.71236,1665370.88326
36008.23997,15284.19618,5.94669,8.20741,99.83321,137.8532,6.01291,8.35393,1666019.44102
36090.4807,15643.37811,9.98403,11.44032,87.39221,99.45856,10.43764,11.99641,1667728.86008
36050.07017,15523.97866,44.50483,19.98537,123.01142,57.62001,46.5003,20.15329,1668548.34683
36085.19879,15939.04872,3.84196,4.85578,100.148,126.58497,3.68681,4.6683,1671961.48285
35500.35433,15093.19168,10.66531,15.54987,77.8326,98.61627,26.57312,32.88298,1672357.1339
35467.77452,15047.56739,11.61173,23.19462,79.17877,151.08528,12.62263,25.24551,1672640.12916
36111.18583,15490.90419,14.80111,39.14716,64.26098,135.82238,15.65578,42.34614,1673138.876
36160.71257,15517.15931,10.17135,8.4385,75.35099,62.54572,9.78724,8.16374,1673589.633
36116.90842,15481.63921,17.23875,25.89189,106.1267,149.53544,27.5612,40.98065,1677799.97522
35431.67214,15018.98216,10.70709,10.93963,96.15999,103.072,12.90594,13.43012,1681776.41633
35448.79656,15025.51709,12.43266,15.5446,89.42922,111.6647,12.724,15.82326,1682213.73508
35554.41164,15171.81871,12.88672,20.31056,66.81191,83.6788,22.76398,32.32551,1691219.49538
35538.73084,15166.17018,14.23892,10.33756,136.46668,99.01257,15.31069,11.07709,1691459.67438
36059.01127,15607.72104,5.05083,6.4361,100.22224,127.71732,5.09109,6.49727,1698905.06537
36029.53222,15590.08277,19.14088,48.42654,136.0381,281.80318,24.81522,67.66913,1699450.60698
36064.53996,15491.32384,13.71801,13.12931,86.51768,83.62667,13.92868,13.39937,1705665.36798
36104.95653,15570.58504,6.7618,7.27969,77.69736,85.78183,7.4038,7.95728,1723712.57196
36128.70688,15522.78626,6.45913,8.36087,93.82522,121.33249,6.42537,8.24555,1724242.98298
35446.05798,15016.26113,6.02683,9.35552,84.39915,130.85158,6.12147,9.36379,1729536.69937
35954.12847,15292.385,4.1191,5.58942,99.96367,135.98456,4.09527,5.56821,1736651.62248
35531.27351,15146.66272,5.08238,6.97012,87.87787,120.46459,4.90985,6.70354,1738777.92214
35493.03302,15095.1841,8.82066,8.65044,94.36612,95.64423,9.10496,8.74853,1744862.7605
35978.1864,15419.62681,23.71652,12.75524,92.22654,79.1128,23.99198,14.36443,1746016.17346
35959.62376,15376.41692,5.3144,6.51885,98.32362,120.60576,5.17693,6.33711,1746465.51723
35982.95391,15215.86044,7.63269,11.22754,86.70729,127.33496,8.06335,11.59022,1756887.12651
36083.57385,15489.53676,12.62749,26.99437,138.3859,259.80494,15.52366,31.63759,1760138.16832
36102.04931,15555.86083,5.05816,6.19068,112.88757,138.1602,5.05602,6.18697,1765104.58888
35422.40398,15005.06527,5.43974,8.6701,88.98119,141.7738,5.51718,8.76944,1775033.00931
36145.61156,15489.63061,9.86099,15.92648,77.76027,124.32522,11.65381,18.46675,1776074.30727
35421.44563,15038.59616,27.3316,49.2761,122.1554,158.72007,32.66767,56.27335,1776181.89852
36137.68138,15497.64925,7.47486,8.20223,87.47572,96.21451,7.58318,8.45488,1784494.40557
36092.94807,15539.8037,5.35728,8.88276,101.98771,158.0897,5.38221,9.26005,1788257.51203
36025.37803,15211.38745,12.59647,9.35413,91.62259,68.05018,12.85816,9.59251,1793057.99359
35481.12631,15099.25466,4.70804,6.2161,79.28642,104.98632,4.55109,6.02353,1793715.55496
36075.36082,15622.0192,8.55386,9.93966,50.61916,58.76887,8.17421,9.50962,1805738.93049
